由于语法栈中内容较多，为了便于区分，[]为语法栈内容，()为表达式内容

步骤	[语法栈]	(输入串)	表达式
135	['#', u'Stem', u'Epro', u'}', u'Ltem', u'Bkpr', u'Etem', u'Ptbr', u'Bloc', u')', u'Jexp']	())	0
136	['#', u'Stem', u'Epro', u'}', u'Ltem', u'Bkpr', u'Etem', u'Ptbr', u'Bloc', u')']	())	0
137	['#', u'Stem', u'Epro', u'}', u'Ltem', u'Bkpr', u'Etem', u'Ptbr', u'Bloc']	({)	
138	['#', u'Stem', u'Epro', u'}', u'Ltem', u'Bkpr', u'Etem', u'Ptbr', u'}', u'Lstr', u'Kdec', u'{']	({)	15 { Kdec Lstr }
139	['#', u'Stem', u'Epro', u'}', u'Ltem', u'Bkpr', u'Etem', u'Ptbr', u'}', u'Lstr', u'Kdec']	(ID)	
140	['#', u'Stem', u'Epro', u'}', u'Ltem', u'Bkpr', u'Etem', u'Ptbr', u'}', u'Lstr']	(ID)	0
141	['#', u'Stem', u'Epro', u'}', u'Ltem', u'Bkpr', u'Etem', u'Ptbr', u'}', u'Ltem', u'Lang']	(ID)	18 Lang Ltem
142	['#', u'Stem', u'Epro', u'}', u'Ltem', u'Bkpr', u'Etem', u'Ptbr', u'}', u'Ltem', u'Asla']	(ID)	23 Asla
143	['#', u'Stem', u'Epro', u'}', u'Ltem', u'Bkpr', u'Etem', u'Ptbr', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Expr', u'=', u'Push', u'ID', u'Push', u'Mexp']	(ID)	24 Mexp Push ID Push = Expr Upex Pcsk ;
144	['#', u'Stem', u'Epro', u'}', u'Ltem', u'Bkpr', u'Etem', u'Ptbr', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Expr', u'=', u'Push', u'ID', u'Push']	(ID)	0
145	['#', u'Stem', u'Epro', u'}', u'Ltem', u'Bkpr', u'Etem', u'Ptbr', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Expr', u'=', u'Push', u'ID']	(ID)	0
146	['#', u'Stem', u'Epro', u'}', u'Ltem', u'Bkpr', u'Etem', u'Ptbr', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Expr', u'=', u'Push']	(=)	
147	['#', u'Stem', u'Epro', u'}', u'Ltem', u'Bkpr', u'Etem', u'Ptbr', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Expr', u'=']	(=)	0
148	['#', u'Stem', u'Epro', u'}', u'Ltem', u'Bkpr', u'Etem', u'Ptbr', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Expr']	(ID)	
149	['#', u'Stem', u'Epro', u'}', u'Ltem', u'Bkpr', u'Etem', u'Ptbr', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Aexp']	(ID)	30 Aexp Atem
150	['#', u'Stem', u'Epro', u'}', u'Ltem', u'Bkpr', u'Etem', u'Ptbr', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Item']	(ID)	37 Item Itmp
151	['#', u'Stem', u'Epro', u'}', u'Ltem', u'Bkpr', u'Etem', u'Ptbr', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u'Fact']	(ID)	40 Fact Ftem
152	['#', u'Stem', u'Epro', u'}', u'Ltem', u'Bkpr', u'Etem', u'Ptbr', u'}', u'Ltem', u';', u'Pcsk', u'Upex', u'Atem', u'Itmp', u'Ftem', u'FTYP', u'ID', u'Push']	(ID)	45 Push ID FTYP
